"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
77,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2977,1,0.528586636363636,36.793342,390.855468,5052.798828,265.107826,8,8,8,89378,34539
78,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",1324,0.636363636363636,0.235085181818182,56.094901,374.373046,4446.941406,475.793051,8,8,8,68853,37959
79,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",25012,0.946236559139785,0.525285612903226,309.930002,1153.392578,11683.009765,796.533863,8,8,8,227129,136649
80,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",8984,1,0.566028193548387,132.689192,1368.455078,12484.826171,623.672417,8,8,8,333178,151254
81,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2161,1,0.383700272727273,6.737114,461.58789,4478.890625,212.28968,8,8,8,81083,41405
82,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",29,0.0606060606060606,0.00171636363636364,97.93677,475.005859,3828.599609,473.827586,8,8,8,43597,36391
83,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",7,0.0303030303030303,0.000414272727272727,84.788056,464.359375,2448.519531,467.571428,8,8,8,42850,38027
84,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",69,0.0967741935483871,0.00434725806451613,169.319857,1160.195312,10861.800781,1184.492753,8,8,8,102184,93903
85,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",507,0.193548387096774,0.0319430322580645,73.257756,2573.402343,15236.890625,1037.81065,8,8,8,267065,192670
86,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",9770,1,0.615549387096774,135.71222,1503.34375,11173.546875,654.852507,8,8,8,301981,183306
87,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",19737,0.881720430107527,0.41450352688172,282.088526,1374.898437,10435.898437,600.847595,8,8,8,300545,212664
88,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",1460,0.387096774193548,0.0919858709677419,50.634795,1859.197265,13796.970703,1029.815068,8,8,8,355706,205627
89,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",8743,1,0.517459727272727,79.030821,486.36914,4651.095703,252.529109,8,8,8,92078,64501
90,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",25278,0.924731182795699,0.530871967741935,328.539145,1258.808593,11490.126953,822.69507,8,8,8,197588,125302
