"EXPERIMENT","EVENNESS_CONTROL","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
19,"d","f","a","s","b",3,4,225,11,4,28,"d",27.4347826086957,0.139252052295531,0.00487119641228337,13.7222961404682,184.942548926421,3988.41773314381,537.849426168539,8.75250836120401,7.11705685618729,7.16722408026756,44878.5217391304,14933.5418060201
20,"d","f","a","s","b",3,4,225,33,4,28,"d",0.404682274247492,0.00942535725144421,2.39498327759197e-05,59.7293241571906,378.657262036789,2411.86345717057,543.422939032258,9.05351170568562,6.89297658862876,7.08026755852843,72173.745819398,37848.9464882943
21,"d","f","a","s","b",3,4,625,31,12,78,"r",4561.09364548495,0.660373287301759,0.287367275002697,70.6550203779264,1129.20848748829,9573.59491880602,824.871522887372,7.37123745819398,8.92642140468227,6.63879598662207,246702.050167224,117895.277591973
22,"d","f","a","s","b",3,4,625,31,12,78,"r",4170.44147157191,0.682058474484842,0.262754613118999,132.363255956522,824.208422180602,10277.0796400368,743.450526619863,7.7190635451505,8.60200668896321,6.57190635451505,234483.722408027,85145.7959866221
23,"d","f","a","s","b",3,4,625,31,12,78,"r",5942.5618729097,0.738159456252023,0.374405344050059,18.9747681705686,927.055529722408,13065.6608547625,814.586494079038,6.14715719063545,10.3678929765886,7.07357859531773,210720.461538462,105925.304347826
24,"d","f","a","s","b",3,4,625,31,12,78,"d",1183.58528428094,0.260006473190204,0.0745706328622289,35.7352549966555,1195.80406651839,9076.20377774582,1113.38081271837,7.46153846153846,8.48494983277592,7.5685618729097,263107.545150502,119175.745819398
25,"d","f","a","s","b",3,4,225,11,4,28,"r",1158.17725752508,0.678929765886288,0.205642227728793,3.05704610367893,364.971806625418,3869.52004683612,282.516736944444,5.8428093645485,7.47491638795987,7.10367892976589,100349.016722408,39717.5384615385
26,"d","f","a","s","b",3,4,625,93,12,78,"d",2.19397993311037,0.00776782824468659,4.60739741791635e-05,45.4840407892977,1072.94307808027,11814.1180819398,1146.32335674874,9.27090301003344,7.40133779264214,6.45819397993311,223226.618729097,118099.036789298
27,"d","f","a","s","b",3,4,625,31,12,78,"r",4416.86287625418,0.631567590894379,0.278280155140792,103.108123695652,1282.86747446488,10171.0110520134,869.937676172414,6.25083612040134,9.96655518394649,7.03344481605351,291450.973244147,127819.772575251
28,"d","f","a","s","b",3,4,225,11,4,28,"r",1293.73913043478,0.707509881422925,0.229712161447248,14.1219927826087,383.893165585284,3871.79974219064,323.167170041522,6.50501672240803,8.95652173913044,6.68561872909699,96251.9899665552,38834.983277592
29,"d","f","a","s","b",3,4,225,33,4,28,"d",3.03010033444816,0.0289855072463768,0.000179329684807946,91.3214644080268,233.065700351171,2099.8676312408,550.106248563025,8.13377926421405,7.37123745819398,7.75250836120401,40416.4581939799,21761.2173913043
30,"d","f","a","s","b",3,4,625,93,12,78,"r",16975.1204013378,0.657172654367605,0.356500339303053,154.381620244147,1952.8486813913,10284.874137311,813.82965235274,6.57859531772575,9.26086956521739,7.4314381270903,469760.993311037,213269.622073579
31,"d","f","a","s","b",3,4,625,31,12,78,"d",1360.57190635452,0.317186319991369,0.0857215040457439,54.9635210434783,936.887358464883,8055.98420473244,1131.90485188973,7.26755852842809,7.70234113712375,8.5819397993311,193523.765886288,107748.224080268
32,"d","f","a","s","b",3,4,625,31,12,78,"r",5063.28428093645,0.712482468443198,0.31900731038947,95.4613057324415,1586.81820868896,9961.42441558194,775.916791010309,7.18060200668896,7.62541806020067,8.10367892976589,426726.063545151,163475.752508361
33,"d","f","a","s","b",3,4,225,33,4,28,"r",66.1070234113712,0.0772271207053816,0.00391257018343975,59.0057842508361,304.051754140468,2440.45251708696,379.481136862069,9.16722408026756,7.03010033444816,6.69230769230769,77975.9431438127,26403.3377926421
34,"d","f","a","s","b",3,4,625,31,12,78,"d",120.083612040134,0.116301650663502,0.00756573783579674,113.763238287625,1052.11904874247,7329.63511791973,1142.81847264727,8.22408026755853,7.5685618729097,7.75250836120401,243018.822742475,109852.909698997
35,"d","f","a","s","b",3,4,225,11,4,28,"d",241.695652173913,0.300091213134691,0.0429146710246275,33.2853572842809,686.296593658863,3851.68197334448,477.502145269663,7.58862876254181,6.95986622073579,8.94983277591973,127008.297658863,48079.1839464883
