"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
127,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",0,0,0,422.154135,102.017578,2506.386718,NA,22180,10813
128,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",0,0,0,337.397298,342.433593,3597.289062,NA,51975,37406
129,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",0,0,0,344.030436,1616.646484,5248.353515,NA,418622,185614
130,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",0,0,0,433.529134,802.136718,3126.8125,NA,131084,95446
131,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",7068,0.967741935483871,0.445312483870968,140.086891,728.882812,4640.037109,281.419637,154050,84812
132,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",0,0,0,364.728841,574.638671,5393.533203,NA,61764,54835
133,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"r",0,0,0,215.045574,195.695312,1229.589843,NA,31854,23962
134,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",0,0,0,123.601725,258.300781,1914.746093,NA,28666,23649
135,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",5,0.0909090909090909,0.000887727272727273,74.481431,174.162109,1148.451171,179,30177,20682
136,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,162.016113,131.410156,1734.40625,NA,17302,11794
137,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",1,0.0909090909090909,0.000177545454545455,92.914792,24.482421,2103.001953,226,6580,2251
138,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",0,0,0,682.945314,522.115234,3013.847656,NA,73659,56002
