"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
3012,"a","s","t",3,5,625,31,12,78,"r",3802.90301003344,0.583018664365088,0.239598208113065,137.735945772575,358.283104722408,7823.65157250502,910.277296377104,113753.535117057,39886.0334448161
3013,"a","s","t",3,5,625,93,12,78,"r",9372.66889632107,0.440105009529974,0.196838639299457,129.876950946488,115.268067625418,8696.6622396087,869.958902340067,42174.9732441472,7071.22742474916
3014,"a","s","t",3,5,625,93,12,78,"r",12495.1939799331,0.542705074261877,0.262415863127989,219.596819916388,334.574584133779,7064.28271277926,942.934546166667,117162.177257525,29170.0501672241
3015,"a","s","t",3,5,625,31,12,78,"r",4829.45819397993,0.674506419246952,0.304275323335851,200.106575083612,52.2452049331104,6671.3428546388,932.364328738983,20577.7324414716,3858.87959866221
3016,"a","s","t",3,5,225,33,4,28,"r",2745.24080267559,0.443599878382487,0.162478726461944,88.9274024046823,72.4182818494983,2431.95878145819,341.272606637288,23172.0769230769,5600.18060200669
3017,"a","s","t",3,5,225,33,4,28,"r",4295.44816053512,0.604945778858822,0.254228688355123,68.2833628561873,256.932535120401,2548.68866228763,261.864025223729,44363.7190635451,23283.5785953177
3018,"a","s","t",3,5,225,33,4,28,"d",682.301003344482,0.117462247897031,0.0403823872504307,35.9117786488294,59.9978896822742,2280.44678835786,488.387510844,27839.745819398,1717.16053511706
3019,"a","s","t",3,5,225,33,4,28,"d",434.120401337793,0.0883753927232188,0.025693668997669,56.4234763177258,41.382309083612,1841.73065774247,548.540966341176,17187.1070234114,2638.83612040134
3020,"a","s","t",3,5,625,93,12,78,"d",622.05016722408,0.0619628151184953,0.0130638845254792,176.44085077592,85.2966198026756,6510.45708958194,1261.32920772125,34798.6220735786,5347.4347826087
3021,"a","s","t",3,5,625,93,12,78,"d",352.040133779264,0.0431905635271694,0.0073933110367893,123.845405050167,300.010137511706,5408.19179773913,1243.06797968085,131118.170568562,11335.016722408
3022,"a","s","t",3,5,225,33,4,28,"d",472.862876254181,0.101347927434884,0.0279866627140975,34.9801727558528,36.171952909699,2281.4246050301,470.04248497048,16230.9030100334,1602.76254180602
3023,"a","s","t",3,5,625,31,12,78,"d",943.52508361204,0.224296040565325,0.0594458703204229,55.8289992508361,103.045966568562,5783.42815196321,1135.58166807885,44317.6755852843,5574.81605351171
3024,"a","s","t",3,5,625,31,12,78,"d",700.297658862876,0.188477721437048,0.0441215616571367,66.3480805953177,440.853698103679,7927.77373756187,1189.83553896057,179528.237458194,32873.1638795987
3025,"a","s","t",3,5,225,11,4,28,"d",944.28762541806,0.575858923685011,0.167664664639708,19.9931983344482,22.4097573511706,3511.67652547157,331.475911562937,10234.474916388,919.307692307692
3026,"a","s","t",3,5,225,33,4,28,"d",400.458193979933,0.0912131346913956,0.023701346407216,81.3134376722408,116.148116979933,2048.10050386957,480.003346433099,50090.0468227425,6436.52173913043
3027,"a","s","t",3,5,225,11,4,28,"d",996.43143812709,0.543934326543022,0.17692315110976,35.2127967658863,48.6188005016722,2731.10247658194,370.617944894366,20695.6287625418,2468.76588628763
3028,"a","s","t",3,5,225,11,4,28,"d",959.260869565217,0.479173000912131,0.170323270294922,6.03581660535117,18.0428442006689,2893.2159080602,471.396266543478,8074.43143812709,861.19397993311
3029,"a","s","t",3,5,625,93,12,78,"d",453.859531772575,0.0523249541482361,0.00953165562628115,56.0786447558528,221.57487151505,7175.56833279933,1116.40309277385,72810.4013377926,30694.0802675585
3030,"a","s","t",3,5,625,31,12,78,"d",1542.47157190635,0.321717553134103,0.0971819141223433,100.163339648829,88.8658283511706,7558.14975003679,1064.84462095374,38073.016722408,5005.26086956522
3031,"a","s","t",3,5,225,33,4,28,"d",735.484949832776,0.151211107732847,0.043530108949022,66.0602109431438,21.9767776254181,2570.67144994983,424.354442585714,9856.65217391304,785.505016722408
3032,"a","s","t",3,5,225,33,4,28,"d",955.709030100334,0.177865612648221,0.0565642058376406,53.9949402842809,148.143733869565,2574.94785306355,410.632805728625,45505.6321070234,24215.0401337793
3033,"a","s","t",3,5,225,33,4,28,"r",4009.2508361204,0.579912840782406,0.237289926218709,75.7161713545151,31.0587239565217,2771.82808539799,319.444105030508,11531.1404682274,2504.3143812709
3034,"a","s","t",3,5,625,93,12,78,"d",307.117056856187,0.0357823569604776,0.00644986683209264,105.228767568562,274.037520434783,6607.44903539799,1156.76672053612,86508.6254180602,36285.9297658863
3035,"a","s","t",3,5,625,31,12,78,"r",5007.98996655518,0.671485597151796,0.315523545905707,171.871476046823,193.863346110368,6930.17418698997,908.114956210884,64423.9230769231,13204.6688963211
3036,"a","s","t",3,5,225,11,4,28,"r",1937.52173913043,0.829127394344786,0.344020150197628,44.5370818327759,33.5543735585284,3146.26768220736,298.619890826531,12935.1538461538,1842.17056856187
3037,"a","s","t",3,5,225,33,4,28,"d",490.454849498328,0.0868551738116956,0.029027856187291,49.7253193043478,29.6705550735786,1667.09087540468,402.985825130252,12384.6287625418,1605.872909699
3038,"a","s","t",3,5,625,93,12,78,"r",11536.7892976589,0.522062789944978,0.242288076527493,81.3451855652174,634.463373541806,8126.55957312709,908.288365037037,245194.839464883,34940.0769230769
3039,"a","s","t",3,5,225,11,4,28,"r",2015.96321070234,0.819702037093341,0.357947969595622,33.2622475217391,66.505976541806,2784.452504,300.385682105802,26272.5551839465,4413.14381270903
3040,"a","s","t",3,5,225,11,4,28,"r",1089.09030100334,0.682578291273943,0.193375365460626,5.64197273244147,33.0335619431438,3187.92690433445,384.551725546392,11655.3712374582,2541.60869565217
3041,"a","s","t",3,5,625,93,12,78,"d",58.4180602006689,0.0184485920811307,0.00122685295069587,43.1424899832776,73.4705197625418,7326.81412608696,1401.21217245324,27097.7692307692,4179.60869565217
3042,"a","s","t",3,5,625,93,12,78,"r",12479.1739130435,0.529686769518467,0.262079419930233,147.993786705686,166.518446454849,7562.86428676589,879.654776151515,53729.3377926421,11716.27090301
3043,"a","s","t",3,5,225,11,4,28,"r",2053.8762541806,0.809364548494983,0.36467969291578,30.0536447190635,23.5498075351171,3018.14244711706,334.424223580756,8433.4347826087,1669.97993311037
3044,"a","s","t",3,5,625,31,12,78,"r",5171.44481605351,0.704283094184917,0.325821860826411,162.080382471572,432.510660113712,7084.72901816053,868.233087268456,116497.414715719,34037.5518394649
3045,"a","s","t",3,5,225,11,4,28,"d",449.127090301003,0.301003344481605,0.0797455487990271,53.5919621103679,32.4438161772575,1971.48099743144,491.435429445545,15016.8963210702,1097.78595317726
3046,"a","s","t",3,5,625,31,12,78,"d",487.852842809365,0.142733843996116,0.0307366829215665,48.7893339732441,234.573597735786,6947.81670631104,1216.4627508209,82883.0635451505,29835.72909699
3047,"a","s","t",3,5,625,31,12,78,"r",5075.75585284281,0.717984680116517,0.319793069263135,169.399293946488,174.095630812709,7204.06831322074,908.945905013514,54352.0066889632,26441.3779264214
3048,"a","s","t",3,5,225,33,4,28,"r",4549.03344481605,0.617512921860748,0.269237286510591,59.1270635451505,41.4805924247492,2759.80981482943,303.004232657627,13571.3444816054,2713.35117056856
3049,"a","s","t",3,5,625,31,12,78,"d",489.391304347826,0.150393785737404,0.0308336103139497,73.6137106153846,113.566242505017,5785.20065538127,1149.46064082332,48505.3578595318,6673.50501672241
3050,"a","s","t",3,5,225,11,4,28,"d",1135.91973244147,0.534508969291578,0.201690251444208,6.76326921070234,177.038702792642,2842.39202900334,407.401212428571,62109.1371237458,17382.0301003344
3051,"a","s","t",3,5,625,93,12,78,"r",12382.2943143813,0.538713273636135,0.260044817995469,150.35648919398,106.818966448161,8570.30791399331,968.161728402685,42539.9030100334,5606.76923076923
3052,"a","s","t",3,5,625,31,12,78,"d",617.367892976589,0.174344589491855,0.038896651310821,63.3751296989967,142.801728020067,8193.76400458528,1260.16359956679,53600.6588628763,10620.7324414716
3053,"a","s","t",3,5,625,93,12,78,"r",12721.2040133779,0.565181429136548,0.267162377746611,277.073079006689,109.182045170569,6541.56787553177,988.911851299663,29353.8595317726,8688.60200668896
3054,"a","s","t",3,5,225,11,4,28,"d",322.444816053512,0.297658862876254,0.0572522350258437,36.2424577190635,152.14788183612,1444.60967501338,509.575888608541,64233.635451505,8126.52173913043
3055,"a","s","t",3,5,225,33,4,28,"d",682.170568561873,0.141785750481403,0.040374666261275,55.2183998963211,28.6280501103679,2262.76734905351,357.441485855072,9772.64214046823,2325.02675585284
3056,"a","s","t",3,5,225,11,4,28,"d",1504.3110367893,0.712374581939799,0.267100639708118,24.4801264214047,18.3476101170569,2459.98423085284,381.622307312281,7594.51170568562,1063.4381270903
3057,"a","s","t",3,5,225,33,4,28,"r",4421.05685618729,0.632005675483936,0.261662915273133,75.2788961571906,22.8072868862876,2763.82135066221,271.143924135135,6531.15719063545,1639.39799331104
3058,"a","s","t",3,5,625,31,12,78,"r",4910.02675585284,0.710864170892221,0.309351467903765,128.894081913043,83.7608625919733,7367.75381436789,932.518006108475,28258.9030100334,5686.20735785953
3059,"a","s","t",3,5,625,31,12,78,"d",777.655518394649,0.217607077354623,0.0489954183838602,51.4388149966555,108.045509334448,6689.29857292308,1193.32815295745,39990.9531772575,8084.64548494983
3060,"a","s","t",3,5,625,93,12,78,"r",12868.0702341137,0.569748624447082,0.270246765526666,194.962327197324,196.667811538462,7298.73961990301,937.579733010135,71081.1772575251,13722.618729097
3061,"a","s","t",3,5,225,33,4,28,"d",709.66220735786,0.138745312658356,0.0420017749062532,36.21528009699,26.6913796822742,2447.34247578595,403.789465066176,11634.3745819398,1234.98662207358
3062,"a","s","t",3,5,225,11,4,28,"d",697.95652173913,0.462146549103071,0.123926899969596,32.8149178026756,31.7001654749164,2165.51101936789,445.967632412811,14471.7491638796,1305.79598662207
3063,"a","s","t",3,5,225,11,4,28,"d",692.173913043478,0.402553967771359,0.122900159014898,37.7609147056856,33.8666514113712,2199.42369050502,406.853172828794,14870.7023411371,1585.88963210702
3064,"a","s","t",3,5,225,11,4,28,"d",825.826086956522,0.462450592885375,0.146631012161751,47.6076471103679,73.3518886722408,1977.65624302341,484.272202647059,25728.508361204,5538.24414715719
3065,"a","s","t",3,5,625,31,12,78,"r",5415.872909699,0.72122127521847,0.341221816592944,95.3109816989967,145.484309217391,7774.63541189967,877.061407945578,55333.9498327759,10814.779264214
3066,"a","s","t",3,5,225,33,4,28,"d",951.655518394649,0.171886084929563,0.0563242949224688,44.1249810401338,21.9502830468227,2911.03170026421,402.896829078014,9649.8762541806,982.819397993311
3067,"a","s","t",3,5,625,93,12,78,"d",566.14381270903,0.0519293703024418,0.0118897767468623,185.809770424749,114.417047234114,6639.40516523411,1271.0387230076,53723.4515050167,3515.51170568562
3068,"a","s","t",3,5,625,31,12,78,"r",5539.30100334448,0.708706440824253,0.348998283417844,191.36573838796,182.174905471572,7514.68015740134,863.800911370748,78837.983277592,11144.3277591973
3069,"a","s","t",3,5,625,31,12,78,"r",3728.83277591973,0.578595317725752,0.234931485057719,139.555976160535,56.7275418762542,6334.17854390635,947.926811918644,23584.3946488294,2901.57190635452
3070,"a","s","t",3,5,225,33,4,28,"r",3001.57190635452,0.490118577075099,0.177649837235229,73.2323187056856,83.4355856488294,2050.84905367559,326.176614164983,22747.8160535117,11152.6086956522
3071,"a","s","t",3,5,225,33,4,28,"r",4852.61872909699,0.648626735583257,0.287205165602513,52.9171638494983,166.360909632107,3108.05167573913,322.516999023649,57282.381270903,13757.6655518395
3072,"a","s","t",3,5,625,93,12,78,"d",343.066889632107,0.0427230553457762,0.00720486068256194,139.204842301003,50.6205968595318,6912.62126317391,1202.25172461268,20626.4147157191,3362.07023411371
3073,"a","s","t",3,5,625,31,12,78,"r",4623.11371237458,0.660049627791563,0.29127478832668,22.3545677959866,97.9150745384615,8277.56614450167,858.508566823729,41160.5919732441,5205.6889632107
3074,"a","s","t",3,5,625,93,12,78,"d",46.0367892976589,0.0177293487251412,0.000966829539324631,123.514486458194,131.091090959866,5876.09341640134,1226.71831755797,52673.6053511706,8640.10033444816
3075,"a","s","t",3,5,625,31,12,78,"r",5075.6220735786,0.717553134102924,0.319784641385263,102.369088023411,198.928158531773,7300.42118866555,893.263355415541,65090.5384615385,15359.093645485
3076,"a","s","t",3,5,625,93,12,78,"d",58.0033444816054,0.0185924407523286,0.00121814424425504,78.9522722508361,159.612242180602,5823.12521514381,1128.88058114444,46240.1772575251,13174.4214046823
3077,"a","s","t",3,5,225,11,4,28,"d",1228.1906354515,0.617208878078443,0.218073582851931,24.6267628963211,64.067653451505,2437.6014640602,415.601302170213,30146.127090301,1789.69565217391
3078,"a","s","t",3,5,225,11,4,28,"d",894.428093645485,0.460322286409243,0.158811764974156,34.2704043143813,99.3973265785953,2399.97144735117,464.57879533101,40498.4481605351,5762.58862876254
3079,"a","s","t",3,5,225,33,4,28,"r",4172.67224080268,0.597750076010946,0.246962121313469,75.2434082274248,20.9622173913043,2532.25047644482,310.973694319865,7106.67224080268,1780.38127090301
3080,"a","s","t",3,5,625,93,12,78,"r",13489.635451505,0.575538533462797,0.283300470169382,260.660138444816,93.6315709397993,7494.48553076923,923.992542685811,32860.0501672241,6926.41471571906
3081,"a","s","t",3,5,625,31,12,78,"r",4622.00668896321,0.669651526594023,0.291205043370374,145.777540799331,235.711322478261,6878.64139537124,890.018704122034,84389.5986622074,20092.4682274247
3082,"a","s","t",3,5,625,31,12,78,"d",979.655518394649,0.229043046714856,0.0617222334663934,36.1882805585284,251.10337148495,7619.22303469565,1193.02424258065,123494.481605351,3680.02006688963
3083,"a","s","t",3,5,225,11,4,28,"r",1352.91638795987,0.726664639708118,0.240219483733658,29.657890993311,114.938923571906,2560.6835541204,334.734767922034,19158.3143812709,10065.7658862876
3084,"a","s","t",3,5,625,31,12,78,"d",1353.14381270903,0.288812169597583,0.0852535019959003,49.4727644347826,124.660913558528,8499.67547382609,1035.43472879859,42739.7391304348,7535.34782608696
3085,"a","s","t",3,5,225,33,4,28,"d",0.662207357859532,0.0133779264214047,3.9190635451505e-05,48.6390302408027,28.340078451505,2443.75761609365,474.105096703125,9229.37123745819,1717.63545150502
3086,"a","s","t",3,5,625,93,12,78,"d",599.648829431438,0.0621066637896932,0.0125934266911209,159.63312687291,77.3584927123746,5911.69316949164,1166.72670837722,33624.0735785953,3911.20066889632
3087,"a","s","t",3,5,625,93,12,78,"r",10154.2408026756,0.475887366490452,0.213252700147445,203.259543220736,139.782941394649,7710.48686985953,933.345281239057,63717.3712374582,5970.3779264214
3088,"a","s","t",3,5,225,33,4,28,"d",279.327759197324,0.0722610722610723,0.0165321715820411,55.7615960602007,33.5594424916388,2111.12455540468,561.588222522901,12867.3210702341,2282.85953177258
3089,"a","s","t",3,5,225,33,4,28,"r",4691.02675585284,0.629573325225499,0.277641247694335,56.3308759665552,34.1478426488294,2987.31346634448,311.662879378378,10685.4180602007,2730.04682274247
3090,"a","s","t",3,5,225,11,4,28,"r",1846.58528428094,0.800547278808148,0.327873764974156,28.8754854214047,18.9952375953177,2843.8146486689,286.206260116041,8163.35451505017,1036.44481605351
3091,"a","s","t",3,5,625,93,12,78,"r",12727.7926421405,0.540583306361707,0.267300747365771,57.1339479464883,85.1062848026756,9338.92055505017,962.769381511785,28378.1806020067,6283.76588628763
3092,"a","s","t",3,5,225,11,4,28,"r",1931.6856187291,0.800547278808148,0.342983909698997,34.5425552374582,42.9370357725752,2806.83703447492,318.910365517123,13063.856187291,3574.97993311037
3093,"a","s","t",3,5,625,31,12,78,"r",4380.57859531773,0.644945517315784,0.275994100226562,175.297853719064,136.23475345485,7444.18621269565,942.952720397959,52976.2675585284,10972.4314381271
3094,"a","s","t",3,5,625,31,12,78,"r",4496.78595317726,0.667062250512461,0.283315631459704,119.641487939799,233.771372882943,6705.93327325418,908.127139881757,88050.8327759197,13979.7859531773
3095,"a","s","t",3,5,625,93,12,78,"r",12049.4682274247,0.52875175315568,0.253055023339447,225.555646351171,126.144400157191,7384.78772948495,886.529907581081,40414.9598662207,11149.3043478261
3096,"a","s","t",3,5,225,11,4,28,"r",1641.67558528428,0.764366068713895,0.291490650045607,18.027643812709,35.2570216555184,2831.4316663612,345.27295189726,11752.0434782609,2463.98996655518
3097,"a","s","t",3,5,625,93,12,78,"d",495.076923076923,0.0522170676448376,0.0103972755780918,76.1888343779264,232.767126943144,6244.3900627893,1263.29925524211,81858.0301003345,26690.4381270903
3098,"a","s","t",3,5,625,93,12,78,"r",14987.6822742475,0.614881145035423,0.314761467220484,324.179696207358,89.2575312274247,7123.26049678261,927.191913003367,39370.5183946488,3967.80602006689
3099,"a","s","t",3,5,625,31,12,78,"r",4928.10033444816,0.718200453123314,0.310490177365412,149.534340040134,55.9831595685619,7101.23820897324,923.07256612628,21255.4046822742,3509.00668896321
3100,"a","s","t",3,5,225,11,4,28,"d",887.05016722408,0.501368197020371,0.157501766798419,14.8442475919732,40.6124969765886,2936.54826589967,428.046583846715,14438.8093645485,3022.35117056856
3101,"a","s","t",3,5,225,33,4,28,"r",4463.38795986622,0.625316712273234,0.264168306678828,80.4815893143813,42.6468824180602,2400.3284772709,317.174163105085,18122.3177257525,2012.03678929766
3102,"a","s","t",3,5,225,33,4,28,"r",4897.79264214047,0.634133981960069,0.289878811492855,87.7419689431438,29.9906715919732,2687.44842138462,314.610843094276,12534.5050167224,1771.51505016722
3103,"a","s","t",3,5,625,31,12,78,"d",421.153846153846,0.146401985111663,0.0265343757686913,70.3503121270903,51.2843981204013,6966.59170497324,1150.75081959507,19868.7224080268,3526.02006688963
3104,"a","s","t",3,5,225,33,4,28,"r",4424.73578595318,0.607783520826999,0.261880654606263,98.0794835652174,85.4316467324415,2776.47595456856,287.663043922297,18028.2608695652,7779.18060200669
