"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_D2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1285,"e","g","b",3,5,625,93,12,78,"r",15804.252,0.594795698924731,0.331910534451613,6.17443423,33.843816412,1943.52714455,238.964285369115,16477.394,848.444
1286,"e","g","b",3,5,225,33,4,28,"r",3708.518,0.497757575757576,0.219490885090909,1.449473944,19.761437508,500.875902342,95.8174725246719,9276.148,826.492
1287,"e","g","b",3,5,225,11,4,28,"d",454.898,0.269818181818182,0.0807702405454545,0.178399522,26.472269552,419.420816414,198.246525964479,12480.508,1017.092
1288,"e","g","b",3,5,625,31,12,78,"r",6231.154,0.760709677419355,0.392587827354839,2.434811152,65.923230472,2022.73632422,340.112232682719,31507.938,2169.19
1289,"e","g","b",3,5,625,31,12,78,"r",5689.562,0.70258064516129,0.358465348,2.223344918,54.129624998,2139.416468748,297.431998810861,26702.054,1023.506
1290,"e","g","b",3,5,225,33,4,28,"d",253.504,0.0536363636363636,0.0150037882424242,0.099814636,15.943292972,219.166425796,190.316326530612,5957.276,2113.578
1291,"e","g","b",3,5,225,11,4,28,"d",529.402,0.295818181818182,0.0939989369090909,0.207484214,24.911953124,359.391191378,196.670203183655,12035.364,704.562
1292,"e","g","b",3,5,625,31,12,78,"d",1013.758,0.207096774193548,0.0638708410967742,0.396747618,147.381683626,1454.061195312,753.553131048191,67758.094,7230.926
1293,"e","g","b",3,5,225,33,4,28,"r",4294.234,0.546545454545455,0.254156841090909,1.6782619,23.045191408,572.181222652,164.499539321305,10840.474,926.298
1294,"e","g","b",3,5,225,11,4,28,"d",702.7,0.420909090909091,0.124769176181818,0.275181658,14.553132816,377.672929684,274.420072524592,7212.72,301.864
1295,"e","g","b",3,5,625,31,12,78,"d",779.002,0.183290322580645,0.0490802674193548,0.305008608,79.957238274,1193.570871086,755.56138047554,38610.922,2270.758
1296,"e","g","b",3,5,625,93,12,78,"r",12756.298,0.509784946236559,0.267899403849462,4.98379348,59.986582026,1472.015601556,218.918559222746,28244.624,2312.954
